X,Y,OBJECTID,PROPERTY_UNIT_ID,STREET,UPDATE_DATE,X_COORD,Y_COORD,UNIT_TYPE,STATUS,ROADSEGMENTID,CIVIC_NO,UNIT,LATITUDE,LONGITUDE,PARCELID,WARD,POLL,ROLL_REFERENCE,GlobalID
-80.49609181,43.4643585,875918,2051924,MARGARET AVE,2023/11/25 08:41:14+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,501,,,50062147,10,10,301201000825054,8573e0f3-696e-4291-8944-01d4cded544c
-80.50844436,43.45692938,875922,2037271,KING ST W,2023/11/25 08:40:30+00,539768.056,4811674.452,VERTICAL UNIT,ACTIVE,11061,812,1204,,,50002023,10,10,301201000103509,edac4ee8-1732-4834-90dc-39ad285c4ff2
-80.48875414,43.45084008,875927,4019421,DUKE ST W,2023/11/25 08:40:54+00,541365.183,4811007.78,VERTICAL UNIT,ACTIVE,6804,7,203,,,50000151,10,20,301202000218500,3cbb3cf0-8778-4290-88d2-9010dc89c90f
-80.49745214,43.45284859,875935,40261297,KING ST W,2023/11/30 17:05:49+00,540660.082,4811226.557,VERTICAL UNIT,ACTIVE,5901,410,LKR42,,,55088788,10,20,301202000101717,4d50997c-ebd3-4126-95a4-2e55c4bfdc88
-80.46996162,43.44499275,875945,2038468,ONWARD AVE,2023/11/25 08:40:38+00,542889.8191,4810367.893,VERTICAL UNIT,ACTIVE,11733,117,303,,,50051856,10,35,301203001004600,356c3423-61ed-4a2c-bee7-6ffa4192c33c
-80.49609181,43.4643585,875960,2023518,MARGARET AVE,2023/11/25 08:40:19+00,540762.4101,4812505.483,VERTICAL UNIT,ACTIVE,11190,305,1715,,,50062147,10,10,301201000825220,c1d4e743-d9fe-4aac-9682-730a0a2064e8
-80.48715661,43.45148323,875970,40249633,QUEEN ST N,2023/11/25 08:42:19+00,541494,4811080,VERTICAL UNIT,ACTIVE,6769,57,1107,,,50000273,10,20,301202000215028,dbe20997-1505-437e-944f-8d0e11971995
-80.50844436,43.45692938,875973,2039528,KING ST W,2023/11/25 08:40:34+00,539768.056,4811674.452,VERTICAL UNIT,ACTIVE,11061,812,1412,,,50002023,10,10,301201000103523,75bf56ae-39a1-4b16-892b-6aaff79df244
-80.46956004,43.44184342,875989,2038457,BRICK ST,2023/11/25 08:40:38+00,542924.54,4810018.344,VERTICAL UNIT,ACTIVE,11697,29,10,,,50025545,10,35,301203001015100,2afcfdd2-7b6b-475f-bd38-ea1296e9e1fd
-80.4878174,43.45001326,876029,2053387,FREDERICK ST,2023/11/25 08:41:13+00,541441.54,4810916.42,VERTICAL UNIT,ACTIVE,6802,22,910,,,50000280,10,20,301202000200300,7c73d8f2-07a2-4530-bd16-ecf740d2f361
